Postcode;Plaatsnaam;Localité;Provincie
6692;Petit-Thier;Petit-Thier;Luxemburg
6698;Grand-Halleux;Grand-Halleux;Luxemburg
6700;ARLON;ARLON;Luxemburg
6700;Bonnert;Bonnert;Luxemburg
6700;Heinsch;Heinsch;Luxemburg
6700;Toernich;Toernich;Luxemburg
6704;Guirsch;Guirsch;Luxemburg
6706;Autelbas;Autelbas;Luxemburg
6717;ATTERT;ATTERT;Luxemburg
6717;Nobressart;Nobressart;Luxemburg
6717;Nothomb;Nothomb;Luxemburg
6717;Thiaumont;Thiaumont;Luxemburg
6717;Tontelange;Tontelange;Luxemburg
6720;Habay-La-Neuve;Habay-La-Neuve;Luxemburg
6720;Hachy;Hachy;Luxemburg
6721;Anlier;Anlier;Luxemburg
6723;Habay-La-Vieille;Habay-La-Vieille;Luxemburg
6724;Houdemont;Houdemont;Luxemburg
6724;Rulles;Rulles;Luxemburg
6730;Bellefontaine;Bellefontaine;Luxemburg
6730;Rossignol;Rossignol;Luxemburg
6730;Saint-Vincent;Saint-Vincent;Luxemburg
6730;TINTIGNY;TINTIGNY;Luxemburg
6740;ETALLE;ETALLE;Luxemburg
6740;Sainte-Marie-Sur-Semois;Sainte-Marie-Sur-Semois;Luxemburg
6740;Villers-Sur-Semois;Villers-Sur-Semois;Luxemburg
6741;Vance;Vance;Luxemburg
6742;Chantemelle;Chantemelle;Luxemburg
6743;Buzenol;Buzenol;Luxemburg
6747;Châtillon;Châtillon;Luxemburg
6747;Meix-Le-Tige;Meix-Le-Tige;Luxemburg
6747;SAINT-LÉGER;SAINT-LÉGER;Luxemburg
6750;MUSSON;MUSSON;Luxemburg
6750;Mussy-La-Ville;Mussy-La-Ville;Luxemburg
6750;Signeulx;Signeulx;Luxemburg
6760;Bleid;Bleid;Luxemburg
6760;Ethe;Ethe;Luxemburg
6760;Ruette;Ruette;Luxemburg
6760;VIRTON;VIRTON;Luxemburg
6761;Latour;Latour;Luxemburg
6762;Saint-Mard;Saint-Mard;Luxemburg
6767;Dampicourt;Dampicourt;Luxemburg
6767;Harnoncourt;Harnoncourt;Luxemburg
6767;Lamorteau;Lamorteau;Luxemburg
6767;Torgny;Torgny;Luxemburg
6769;Gérouville;Gérouville;Luxemburg
6769;MEIX-DEVANT-VIRTON;MEIX-DEVANT-VIRTON;Luxemburg
6769;Robelmont;Robelmont;Luxemburg
6769;Sommethonne;Sommethonne;Luxemburg
6769;Villers-La-Loue;Villers-La-Loue;Luxemburg
6780;Hondelange;Hondelange;Luxemburg
6780;MESSANCY;MESSANCY;Luxemburg
6780;Wolkrange;Wolkrange;Luxemburg
6781;Sélange;Sélange;Luxemburg
6782;Habergy;Habergy;Luxemburg
6790;AUBANGE;AUBANGE;Luxemburg
6791;Athus;Athus;Luxemburg
6792;Halanzy;Halanzy;Luxemburg
6792;Rachecourt;Rachecourt;Luxemburg
6800;Bras;Bras;Luxemburg
6800;Freux;Freux;Luxemburg
6800;LIBRAMONT-CHEVIGNY;LIBRAMONT-CHEVIGNY;Luxemburg
6800;Moircy;Moircy;Luxemburg
6800;Recogne;Recogne;Luxemburg
6800;Remagne;Remagne;Luxemburg
6800;Saint-Pierre;Saint-Pierre;Luxemburg
6800;Sainte-Marie-Chevigny;Sainte-Marie-Chevigny;Luxemburg
6810;CHINY;CHINY;Luxemburg
6810;Izel;Izel;Luxemburg
6810;Jamoigne;Jamoigne;Luxemburg
6811;Les Bulles;Les Bulles;Luxemburg
6812;Suxy;Suxy;Luxemburg
6813;Termes;Termes;Luxemburg
6820;FLORENVILLE;FLORENVILLE;Luxemburg
6820;Fontenoille;Fontenoille;Luxemburg
6820;Muno;Muno;Luxemburg
6820;Sainte-Cécile;Sainte-Cécile;Luxemburg
6821;Lacuisine;Lacuisine;Luxemburg
6823;Villers-Devant-Orval;Villers-Devant-Orval;Luxemburg
6824;Chassepierre;Chassepierre;Luxemburg
6830;BOUILLON;BOUILLON;Luxemburg
6830;Les Hayons;Les Hayons;Luxemburg
6830;Poupehan;Poupehan;Luxemburg
6830;Rochehaut;Rochehaut;Luxemburg
6831;Noirfontaine;Noirfontaine;Luxemburg
6832;Sensenruth;Sensenruth;Luxemburg
6833;Ucimont;Ucimont;Luxemburg
6833;Vivy;Vivy;Luxemburg
6834;Bellevaux;Bellevaux;Luxemburg
6836;Dohan;Dohan;Luxemburg
6838;Corbion;Corbion;Luxemburg
6840;Grandvoir;Grandvoir;Luxemburg
6840;Grapfontaine;Grapfontaine;Luxemburg
6840;Hamipré;Hamipré;Luxemburg
6840;Longlier;Longlier;Luxemburg
6840;NEUFCHÂTEAU;NEUFCHÂTEAU;Luxemburg
6840;Tournay;Tournay;Luxemburg
6850;Carlsbourg;Carlsbourg;Luxemburg
6850;Offagne;Offagne;Luxemburg
6850;PALISEUL;PALISEUL;Luxemburg
6851;Nollevaux;Nollevaux;Luxemburg
6852;Maissin;Maissin;Luxemburg
6852;Opont;Opont;Luxemburg
6853;Framont;Framont;Luxemburg
6856;Fays-Les-Veneurs;Fays-Les-Veneurs;Luxemburg
6860;Assenois;Assenois;Luxemburg
6860;Ebly;Ebly;Luxemburg
6860;LÉGLISE;LÉGLISE;Luxemburg
6860;Mellier;Mellier;Luxemburg
6860;Witry;Witry;Luxemburg
6870;Arville;Arville;Luxemburg
6870;Awenne;Awenne;Luxemburg
6870;Hatrival;Hatrival;Luxemburg
6870;Mirwart;Mirwart;Luxemburg
6870;SAINT-HUBERT;SAINT-HUBERT;Luxemburg
6870;Vesqueville;Vesqueville;Luxemburg
6880;Auby-Sur-Semois;Auby-Sur-Semois;Luxemburg
6880;BERTRIX;BERTRIX;Luxemburg
6880;Cugnon;Cugnon;Luxemburg
6880;Jehonville;Jehonville;Luxemburg
6880;Orgeo;Orgeo;Luxemburg
6887;HERBEUMONT;HERBEUMONT;Luxemburg
6887;Saint-Médard;Saint-Médard;Luxemburg
6887;Straimont;Straimont;Luxemburg
6890;Anloy;Anloy;Luxemburg
6890;LIBIN;LIBIN;Luxemburg
6890;Ochamps;Ochamps;Luxemburg
6890;Redu;Redu;Luxemburg
6890;Smuid;Smuid;Luxemburg
6890;Transinne;Transinne;Luxemburg
6890;Villance;Villance;Luxemburg
6900;Aye;Aye;Luxemburg
6900;Hargimont;Hargimont;Luxemburg
6900;Humain;Humain;Luxemburg
6900;MARCHE-EN-FAMENNE;MARCHE-EN-FAMENNE;Luxemburg
6900;On;On;Luxemburg
6900;Roy;Roy;Luxemburg
6900;Waha;Waha;Luxemburg
6920;Sohier;Sohier;Luxemburg
6920;WELLIN;WELLIN;Luxemburg
6921;Chanly;Chanly;Luxemburg
6922;Halma;Halma;Luxemburg
6924;Lomprez;Lomprez;Luxemburg
6927;Bure;Bure;Luxemburg
6927;Grupont;Grupont;Luxemburg
6927;Resteigne;Resteigne;Luxemburg
6927;TELLIN;TELLIN;Luxemburg
6929;DAVERDISSE;DAVERDISSE;Luxemburg
6929;Gembes;Gembes;Luxemburg
6929;Haut-Fays;Haut-Fays;Luxemburg
6929;Porcheresse;Porcheresse;Luxemburg
6940;Barvaux-Sur-Ourthe;Barvaux-Sur-Ourthe;Luxemburg
6940;DURBUY;DURBUY;Luxemburg
6940;Grandhan;Grandhan;Luxemburg
6940;Septon;Septon;Luxemburg
6940;Wéris;Wéris;Luxemburg
6941;Bende;Bende;Luxemburg
6941;Bomal-Sur-Ourthe;Bomal-Sur-Ourthe;Luxemburg
6941;Borlon;Borlon;Luxemburg
6941;Heyd;Heyd;Luxemburg
6941;Izier;Izier;Luxemburg
6941;Tohogne;Tohogne;Luxemburg
6941;Villers-Sainte-Gertrude;Villers-Sainte-Gertrude;Luxemburg
6950;Harsin;Harsin;Luxemburg
6950;NASSOGNE;NASSOGNE;Luxemburg
6951;Bande;Bande;Luxemburg
6952;Grune;Grune;Luxemburg
6953;Ambly;Ambly;Luxemburg
6953;Forrières;Forrières;Luxemburg
6953;Lesterny;Lesterny;Luxemburg
6953;Masbourg;Masbourg;Luxemburg
6960;Dochamps;Dochamps;Luxemburg
6960;Grandmenil;Grandmenil;Luxemburg
6960;Harre;Harre;Luxemburg
6960;Malempré;Malempré;Luxemburg
6960;Odeigne;Odeigne;Luxemburg
6960;Vaux-Chavanne;Vaux-Chavanne;Luxemburg
6970;TENNEVILLE;TENNEVILLE;Luxemburg
6971;Champlon;Champlon;Luxemburg
6972;Erneuville;Erneuville;Luxemburg
6980;Beausaint;Beausaint;Luxemburg
6980;LA ROCHE-EN-ARDENNE;LA ROCHE-EN-ARDENNE;Luxemburg
6982;Samrée;Samrée;Luxemburg
6983;Ortho;Ortho;Luxemburg
6984;Hives;Hives;Luxemburg
6986;Halleux;Halleux;Luxemburg
6987;Beffe;Beffe;Luxemburg
6987;Hodister;Hodister;Luxemburg
6987;Marcourt;Marcourt;Luxemburg
6987;RENDEUX;RENDEUX;Luxemburg
6990;Fronville;Fronville;Luxemburg
6990;Hampteau;Hampteau;Luxemburg
6990;HOTTON;HOTTON;Luxemburg
6990;Marenne;Marenne;Luxemburg
6997;Amonines;Amonines;Luxemburg
6997;EREZÉE;EREZÉE;Luxemburg
6997;Mormont;Mormont;Luxemburg
6997;Soy;Soy;Luxemburg
7000;MONS;MONS;Henegouwen
7010;SHAPE;SHAPE;
7011;Ghlin;Ghlin;Henegouwen
7012;Flénu;Flénu;Henegouwen
7012;Jemappes;Jemappes;Henegouwen
7020;Maisières;Maisières;Henegouwen
7020;Nimy;Nimy;Henegouwen
7021;Havre;Havre;Henegouwen
7022;Harmignies;Harmignies;Henegouwen
7022;Harveng;Harveng;Henegouwen
7022;Hyon;Hyon;Henegouwen
7022;Mesvin;Mesvin;Henegouwen
7022;Nouvelles;Nouvelles;Henegouwen
7024;Ciply;Ciply;Henegouwen
7030;Saint-Symphorien;Saint-Symphorien;Henegouwen
7031;Villers-Saint-Ghislain;Villers-Saint-Ghislain;Henegouwen
7032;Spiennes;Spiennes;Henegouwen
7033;Cuesmes;Cuesmes;Henegouwen
7034;Obourg;Obourg;Henegouwen
7034;Saint-Denis;Saint-Denis;Henegouwen
7040;Asquillies;Asquillies;Henegouwen
7040;Aulnois;Aulnois;Henegouwen
7040;Blaregnies;Blaregnies;Henegouwen
7040;Bougnies;Bougnies;Henegouwen
7040;Genly;Genly;Henegouwen
7040;Goegnies-Chaussée;Goegnies-Chaussée;Henegouwen
7040;Quévy-Le-Grand;Quévy-Le-Grand;Henegouwen
7040;Quévy-Le-Petit;Quévy-Le-Petit;Henegouwen
7041;Givry;Givry;Henegouwen
7041;Havay;Havay;Henegouwen
7050;Erbaut;Erbaut;Henegouwen
7050;Erbisoeul;Erbisoeul;Henegouwen
7050;Herchies;Herchies;Henegouwen
7050;JURBISE;JURBISE;Henegouwen
7050;Masnuy-Saint-Jean;Masnuy-Saint-Jean;Henegouwen
7050;Masnuy-Saint-Pierre;Masnuy-Saint-Pierre;Henegouwen
7060;Horrues;Horrues;Henegouwen
7060;SOIGNIES;SOIGNIES;Henegouwen
7061;Casteau;Casteau;Henegouwen
7061;Thieusies;Thieusies;Henegouwen
7062;Naast;Naast;Henegouwen
7063;Chaussée-Notre-Dame-Louvignies;Chaussée-Notre-Dame-Louvignies;Henegouwen
7063;Neufvilles;Neufvilles;Henegouwen
7070;Gottignies;Gottignies;Henegouwen
7070;LE ROEULX;LE ROEULX;Henegouwen
7070;Mignault;Mignault;Henegouwen
7070;Thieu;Thieu;Henegouwen
7070;Ville-Sur-Haine;Ville-Sur-Haine;Henegouwen
7080;Eugies;Eugies;Henegouwen
7080;FRAMERIES;FRAMERIES;Henegouwen
7080;La Bouverie;La Bouverie;Henegouwen
7080;Noirchain;Noirchain;Henegouwen
7080;Sars-La-Bruyère;Sars-La-Bruyère;Henegouwen
7090;BRAINE-LE-COMTE;BRAINE-LE-COMTE;Henegouwen
7090;Hennuyères;Hennuyères;Henegouwen
7090;Henripont;Henripont;Henegouwen
7090;Petit-Roeulx-Lez-Braine;Petit-Roeulx-Lez-Braine;Henegouwen
7090;Ronquières;Ronquières;Henegouwen
7090;Steenkerque;Steenkerque;Henegouwen
7100;Haine-Saint-Paul;Haine-Saint-Paul;Henegouwen
7100;Haine-Saint-Pierre;Haine-Saint-Pierre;Henegouwen
7100;LA LOUVIÈRE;LA LOUVIÈRE;Henegouwen
7100;Saint-Vaast;Saint-Vaast;Henegouwen
7100;Trivières;Trivières;Henegouwen
7110;Boussoit;Boussoit;Henegouwen
7110;Houdeng-Aimeries;Houdeng-Aimeries;Henegouwen
7110;Houdeng-Goegnies;Houdeng-Goegnies;Henegouwen
7110;Maurage;Maurage;Henegouwen
7110;Strépy-Bracquegnies;Strépy-Bracquegnies;Henegouwen
7120;Croix-Lez-Rouveroy;Croix-Lez-Rouveroy;Henegouwen
7120;Estinnes-Au-Mont;Estinnes-Au-Mont;Henegouwen
7120;Estinnes-Au-Val;Estinnes-Au-Val;Henegouwen
7120;Fauroeulx;Fauroeulx;Henegouwen
7120;Haulchin;Haulchin;Henegouwen
7120;Peissant;Peissant;Henegouwen
7120;Rouveroy;Rouveroy;Henegouwen
7120;Vellereille-Le-Sec;Vellereille-Le-Sec;Henegouwen
7120;Vellereille-Les-Brayeux;Vellereille-Les-Brayeux;Henegouwen
7130;Battignies;Battignies;Henegouwen
7130;BINCHE;BINCHE;Henegouwen
7130;Bray;Bray;Henegouwen
7131;Waudrez;Waudrez;Henegouwen
7133;Buvrinnes;Buvrinnes;Henegouwen
7134;Epinois;Epinois;Henegouwen
7134;Leval-Trahegnies;Leval-Trahegnies;Henegouwen
7134;Péronnes-Lez-Binche;Péronnes-Lez-Binche;Henegouwen
7134;Ressaix;Ressaix;Henegouwen
7140;Morlanwelz-Mariemont;Morlanwelz-Mariemont;Henegouwen
7141;Carnières;Carnières;Henegouwen
7141;Mont-Sainte-Aldegonde;Mont-Sainte-Aldegonde;Henegouwen
7160;CHAPELLE-LEZ-HERLAIMONT;CHAPELLE-LEZ-HERLAIMONT;Henegouwen
7160;Godarville;Godarville;Henegouwen
7160;Piéton;Piéton;Henegouwen
7170;Bellecourt;Bellecourt;Henegouwen
7170;Bois-D'Haine;Bois-D'Haine;Henegouwen
7170;Fayt-Lez-Manage;Fayt-Lez-Manage;Henegouwen
7170;La Hestre;La Hestre;Henegouwen
7170;MANAGE;MANAGE;Henegouwen
7180;SENEFFE;SENEFFE;Henegouwen
7181;Arquennes;Arquennes;Henegouwen
7181;Familleureux;Familleureux;Henegouwen
7181;Feluy;Feluy;Henegouwen
7181;Petit-Roeulx-Lez-Nivelles;Petit-Roeulx-Lez-Nivelles;Henegouwen
7190;Ecaussinnes-D'Enghien;Ecaussinnes-D'Enghien;Henegouwen
7190;Marche-Lez-Ecaussinnes;Marche-Lez-Ecaussinnes;Henegouwen
7191;Ecaussinnes-Lalaing;Ecaussinnes-Lalaing;Henegouwen
7300;BOUSSU;BOUSSU;Henegouwen
7301;Hornu;Hornu;Henegouwen
7320;BERNISSART;BERNISSART;Henegouwen
7321;Blaton;Blaton;Henegouwen
7321;Harchies;Harchies;Henegouwen
7322;Pommeroeul;Pommeroeul;Henegouwen
7322;Ville-Pommeroeul;Ville-Pommeroeul;Henegouwen
7330;SAINT-GHISLAIN;SAINT-GHISLAIN;Henegouwen
7331;Baudour;Baudour;Henegouwen
7332;Neufmaison;Neufmaison;Henegouwen
7332;Sirault;Sirault;Henegouwen
7333;Tertre;Tertre;Henegouwen
7334;Hautrage;Hautrage;Henegouwen
7334;Villerot;Villerot;Henegouwen
7340;COLFONTAINE;COLFONTAINE;Henegouwen
7340;Paturages;Paturages;Henegouwen
7340;Warquignies;Warquignies;Henegouwen
7340;Wasmes;Wasmes;Henegouwen
7350;Hainin;Hainin;Henegouwen
7350;HENSIES;HENSIES;Henegouwen
7350;Montroeul-Sur-Haine;Montroeul-Sur-Haine;Henegouwen
7350;Thulin;Thulin;Henegouwen
7370;Blaugies;Blaugies;Henegouwen
7370;DOUR;DOUR;Henegouwen
7370;Elouges;Elouges;Henegouwen
7370;Wihéries;Wihéries;Henegouwen
7380;Baisieux;Baisieux;Henegouwen
7380;QUIÉVRAIN;QUIÉVRAIN;Henegouwen
7382;Audregnies;Audregnies;Henegouwen
7387;Angre;Angre;Henegouwen
7387;Angreau;Angreau;Henegouwen
7387;Athis;Athis;Henegouwen
7387;Autreppe;Autreppe;Henegouwen
7387;Erquennes;Erquennes;Henegouwen
7387;Fayt-Le-Franc;Fayt-Le-Franc;Henegouwen
7387;Marchipont;Marchipont;Henegouwen
7387;Montignies-Sur-Roc;Montignies-Sur-Roc;Henegouwen
7387;Onnezies;Onnezies;Henegouwen
7387;Roisin;Roisin;Henegouwen
7390;QUAREGNON;QUAREGNON;Henegouwen
7390;Wasmuel;Wasmuel;Henegouwen
7500;Ere;Ere;Henegouwen
7500;Saint-Maur;Saint-Maur;Henegouwen
7500;TOURNAI;TOURNAI;Henegouwen
7501;Orcq;Orcq;Henegouwen
7502;Esplechin;Esplechin;Henegouwen
7503;Froyennes;Froyennes;Henegouwen
7504;Froidmont;Froidmont;Henegouwen
7506;Willemeau;Willemeau;Henegouwen
7510;3 SUISSES;3 SUISSES;
7511;VITRINE MAGIQUE;VITRINE MAGIQUE;
7512;YVES ROCHER;YVES ROCHER;
7513;YVES ROCHER;YVES ROCHER;
7520;Ramegnies-Chin;Ramegnies-Chin;Henegouwen
7520;Templeuve;Templeuve;Henegouwen
7521;Chercq;Chercq;Henegouwen
7522;Blandain;Blandain;Henegouwen
7522;Hertain;Hertain;Henegouwen
7522;Lamain;Lamain;Henegouwen
7522;Marquain;Marquain;Henegouwen
7530;Gaurain-Ramecroix;Gaurain-Ramecroix;Henegouwen
7531;Havinnes;Havinnes;Henegouwen
7532;Beclers;Beclers;Henegouwen
7533;Thimougies;Thimougies;Henegouwen
7534;Barry;Barry;Henegouwen
7534;Maulde;Maulde;Henegouwen
7536;Vaulx;Vaulx;Henegouwen
7538;Vezon;Vezon;Henegouwen
7540;Kain;Kain;Henegouwen
7540;Melles;Melles;Henegouwen
7540;Quartes;Quartes;Henegouwen
7540;Rumillies;Rumillies;Henegouwen
7542;Mont-Saint-Aubert;Mont-Saint-Aubert;Henegouwen
7543;Mourcourt;Mourcourt;Henegouwen
7548;Warchin;Warchin;Henegouwen
7600;PÉRUWELZ;PÉRUWELZ;Henegouwen
7601;Roucourt;Roucourt;Henegouwen
7602;Bury;Bury;Henegouwen
7603;Bon-Secours;Bon-Secours;Henegouwen
7604;Baugnies;Baugnies;Henegouwen
7604;Braffe;Braffe;Henegouwen
7604;Brasmenil;Brasmenil;Henegouwen
7604;Callenelle;Callenelle;Henegouwen
7604;Wasmes-Audemez-Briffoeil;Wasmes-Audemez-Briffoeil;Henegouwen
7608;Wiers;Wiers;Henegouwen
7610;RUMES;RUMES;Henegouwen
7611;La Glanerie;La Glanerie;Henegouwen
7618;Taintignies;Taintignies;Henegouwen
7620;Bléharies;Bléharies;Henegouwen
7620;Guignies;Guignies;Henegouwen
7620;Hollain;Hollain;Henegouwen
7620;Jollain-Merlin;Jollain-Merlin;Henegouwen
7620;Wez-Velvain;Wez-Velvain;Henegouwen
7621;Lesdain;Lesdain;Henegouwen
7622;Laplaigne;Laplaigne;Henegouwen
7623;Rongy;Rongy;Henegouwen
7624;Howardries;Howardries;Henegouwen
7640;ANTOING;ANTOING;Henegouwen
7640;Maubray;Maubray;Henegouwen
7640;Péronnes-Lez-Antoing;Péronnes-Lez-Antoing;Henegouwen
7641;Bruyelle;Bruyelle;Henegouwen
7642;Calonne;Calonne;Henegouwen
7643;Fontenoy;Fontenoy;Henegouwen
7700;Luingne;Luingne;Henegouwen
7700;MOESKROEN;MOUSCRON;Henegouwen
7711;Dottenijs;Dottignies;Henegouwen
7712;Herseaux;Herseaux;Henegouwen
7730;Bailleul;Bailleul;Henegouwen
7730;Estaimbourg;Estaimbourg;Henegouwen
7730;ESTAIMPUIS;ESTAIMPUIS;Henegouwen
7730;Evregnies;Evregnies;Henegouwen
7730;Leers-Nord;Leers-Nord;Henegouwen
7730;Néchin;Néchin;Henegouwen
7730;Saint-Léger;Saint-Léger;Henegouwen
7740;PECQ;PECQ;Henegouwen
7740;Warcoing;Warcoing;Henegouwen
7742;Hérinnes-Lez-Pecq;Hérinnes-Lez-Pecq;Henegouwen
7743;Esquelmes;Esquelmes;Henegouwen
7743;Obigies;Obigies;Henegouwen
7750;Amougies;Amougies;Henegouwen
7750;Anseroeul;Anseroeul;Henegouwen
7750;Orroir;Orroir;Henegouwen
7750;Russeignies;Russeignies;Henegouwen
7760;CELLES;CELLES;Henegouwen
7760;Escanaffles;Escanaffles;Henegouwen
7760;Molenbaix;Molenbaix;Henegouwen
7760;Popuelles;Popuelles;Henegouwen
7760;Pottes;Pottes;Henegouwen
7760;Velaines;Velaines;Henegouwen
7780;Komen;Comines;Henegouwen
7780;KOMEN-WAASTEN;COMINES-WARNETON;Henegouwen
7781;Houthem;Houthem;Henegouwen
7782;Ploegsteert;Ploegsteert;Henegouwen
7783;Bizet;Bizet;Henegouwen
7784;Neerwaasten;Bas-Warneton;Henegouwen
7784;Waasten;Warneton;Henegouwen
7800;ATH;ATH;Henegouwen
7800;Lanquesaint;Lanquesaint;Henegouwen
7801;Irchonwelz;Irchonwelz;Henegouwen
7802;Ormeignies;Ormeignies;Henegouwen
7803;Bouvignies;Bouvignies;Henegouwen
7804;Ostiches;Ostiches;Henegouwen
7804;Rebaix;Rebaix;Henegouwen
7810;Maffle;Maffle;Henegouwen
7811;Arbre;Arbre;Henegouwen
7812;Houtaing;Houtaing;Henegouwen
7812;Ligne;Ligne;Henegouwen
7812;Mainvault;Mainvault;Henegouwen
7812;Moulbaix;Moulbaix;Henegouwen
7812;Villers-Notre-Dame;Villers-Notre-Dame;Henegouwen
7812;Villers-Saint-Amand;Villers-Saint-Amand;Henegouwen
7822;Ghislenghien;Ghislenghien;Henegouwen
7822;Isières;Isières;Henegouwen
7822;Meslin-L'Evêque;Meslin-L'Evêque;Henegouwen
7823;Gibecq;Gibecq;Henegouwen
7830;Bassilly;Bassilly;Henegouwen
7830;Fouleng;Fouleng;Henegouwen
7830;Gondregnies;Gondregnies;Henegouwen
7830;Graty;Graty;Henegouwen
7830;Hellebecq;Hellebecq;Henegouwen
7830;Hoves;Hoves;Henegouwen
7830;SILLY;SILLY;Henegouwen
7830;Thoricourt;Thoricourt;Henegouwen
7850;EDINGEN;ENGHIEN;Henegouwen
7850;Lettelingen;Marcq;Henegouwen
7850;Mark;Petit-Enghien;Henegouwen
7860;LESSINES;LESSINES;Henegouwen
7861;Papignies;Papignies;Henegouwen
7861;Wannebecq;Wannebecq;Henegouwen
7862;Ogy;Ogy;Henegouwen
7863;Ghoy;Ghoy;Henegouwen
7864;Deux-Acren;Deux-Acren;Henegouwen
7866;Bois-De-Lessines;Bois-De-Lessines;Henegouwen
7866;Ollignies;Ollignies;Henegouwen
7870;Bauffe;Bauffe;Henegouwen
7870;Cambron-Saint-Vincent;Cambron-Saint-Vincent;Henegouwen
7870;LENS;LENS;Henegouwen
7870;Lombise;Lombise;Henegouwen
7870;Montignies-Lez-Lens;Montignies-Lez-Lens;Henegouwen
7880;VLOESBERG;FLOBECQ;Henegouwen
7890;ELLEZELLES;ELLEZELLES;Henegouwen
7890;Lahamaide;Lahamaide;Henegouwen
7890;Wodecq;Wodecq;Henegouwen
7900;Grandmetz;Grandmetz;Henegouwen
7900;LEUZE-EN-HAINAUT;LEUZE-EN-HAINAUT;Henegouwen
7901;Thieulain;Thieulain;Henegouwen
7903;Blicquy;Blicquy;Henegouwen
7903;Chapelle-À-Oie;Chapelle-À-Oie;Henegouwen
7903;Chapelle-À-Wattines;Chapelle-À-Wattines;Henegouwen
7904;Pipaix;Pipaix;Henegouwen
7904;Tourpes;Tourpes;Henegouwen
7904;Willaupuis;Willaupuis;Henegouwen
7906;Gallaix;Gallaix;Henegouwen
7910;Anvaing;Anvaing;Henegouwen
7910;Arc-Ainières;Arc-Ainières;Henegouwen
7910;Arc-Wattripont;Arc-Wattripont;Henegouwen
7910;Cordes;Cordes;Henegouwen
7910;Ellignies-Lez-Frasnes;Ellignies-Lez-Frasnes;Henegouwen
7910;Forest;Forest;Henegouwen
7910;Wattripont;Wattripont;Henegouwen
7911;Buissenal;Buissenal;Henegouwen
7911;Frasnes-Lez-Buissenal;Frasnes-Lez-Buissenal;Henegouwen
7911;Hacquegnies;Hacquegnies;Henegouwen
7911;Herquegies;Herquegies;Henegouwen
7911;Montroeul-Au-Bois;Montroeul-Au-Bois;Henegouwen
7911;Moustier;Moustier;Henegouwen
7911;Oeudeghien;Oeudeghien;Henegouwen
7912;Dergneau;Dergneau;Henegouwen
7912;Saint-Sauveur;Saint-Sauveur;Henegouwen
7940;BRUGELETTE;BRUGELETTE;Henegouwen
7940;Cambron-Casteau;Cambron-Casteau;Henegouwen
7941;Attre;Attre;Henegouwen
7942;Mévergnies-Lez-Lens;Mévergnies-Lez-Lens;Henegouwen
7943;Gages;Gages;Henegouwen
7950;CHIÈVRES;CHIÈVRES;Henegouwen
7950;Grosage;Grosage;Henegouwen
7950;Huissignies;Huissignies;Henegouwen
7950;Ladeuze;Ladeuze;Henegouwen
7950;Tongre-Saint-Martin;Tongre-Saint-Martin;Henegouwen
7951;Tongre-Notre-Dame;Tongre-Notre-Dame;Henegouwen
7970;BELOEIL;BELOEIL;Henegouwen
7971;Basècles;Basècles;Henegouwen
7971;Ramegnies;Ramegnies;Henegouwen
7971;Thumaide;Thumaide;Henegouwen
7971;Wadelincourt;Wadelincourt;Henegouwen
7972;Aubechies;Aubechies;Henegouwen
7972;Ellignies-Saint-Anne;Ellignies-Saint-Anne;Henegouwen
7972;Quevaucamps;Quevaucamps;Henegouwen
7973;Grandglise;Grandglise;Henegouwen
7973;Stambruges;Stambruges;Henegouwen
8000;BRUGGE;BRUGGE;West-Vlaanderen
8000;Koolkerke;Koolkerke;West-Vlaanderen
8020;Hertsberge;Hertsberge;West-Vlaanderen
8020;OOSTKAMP;OOSTKAMP;West-Vlaanderen
8020;Ruddervoorde;Ruddervoorde;West-Vlaanderen
8020;Waardamme;Waardamme;West-Vlaanderen
8200;Sint-Andries;Sint-Andries;West-Vlaanderen
8200;Sint-Michiels;Sint-Michiels;West-Vlaanderen
8210;Loppem;Loppem;West-Vlaanderen
8210;Veldegem;Veldegem;West-Vlaanderen
8210;ZEDELGEM;ZEDELGEM;West-Vlaanderen
8211;Aartrijke;Aartrijke;West-Vlaanderen
8300;Knokke;Knokke;West-Vlaanderen
8300;Westkapelle;Westkapelle;West-Vlaanderen
8301;Heist-Aan-Zee;Heist-Aan-Zee;West-Vlaanderen
8301;Ramskapelle;Ramskapelle;West-Vlaanderen
8310;Assebroek;Assebroek;West-Vlaanderen
8310;Sint-Kruis;Sint-Kruis;West-Vlaanderen
8340;DAMME;DAMME;West-Vlaanderen
8340;Hoeke;Hoeke;West-Vlaanderen
8340;Lapscheure;Lapscheure;West-Vlaanderen
8340;Moerkerke;Moerkerke;West-Vlaanderen
8340;Oostkerke;Oostkerke;West-Vlaanderen
8340;Sijsele;Sijsele;West-Vlaanderen
8370;BLANKENBERGE;BLANKENBERGE;West-Vlaanderen
8370;Uitkerke;Uitkerke;West-Vlaanderen
8377;Houtave;Houtave;West-Vlaanderen
8377;Meetkerke;Meetkerke;West-Vlaanderen
8377;Nieuwmunster;Nieuwmunster;West-Vlaanderen
8377;ZUIENKERKE;ZUIENKERKE;West-Vlaanderen
8380;Dudzele;Dudzele;West-Vlaanderen
8380;Lissewege;Lissewege;West-Vlaanderen
8380;Zeebrugge;Zeebrugge;West-Vlaanderen
8400;OOSTENDE;OOSTENDE;West-Vlaanderen
8400;Stene;Stene;West-Vlaanderen
